5-(9)　　三池港,,,,,
,,,,,
④　海上出入貨物,,,,,単位： トン
品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"28,430","5,649","22,781"
【一般】,,,"28,430","5,649","22,781"
(1)　農水産品,,,"2,058",753,"1,305"
　　　　麦,,11,‐,‐,‐
　　　　米,,21,18,‐,18
　　　　とうもろこし,,22,‐,‐,‐
　　　　豆類,,23,‐,‐,‐
　　　　その他雑穀,,24,‐,‐,‐
　　　　野菜・果物,,31,295,‐,295
　　　　綿花,,41,‐,‐,‐
　　　　その他農産品,,51,173,159,14
　　　　羊毛,,61,‐,‐,‐
　　　　その他畜産品,,71,492,4,488
         水産品,,81,"1,080",590,490
(2)　林産品,,,446,13,433
　　　　原木,,91,‐,‐,‐
　　　　製材,,92,429,13,416
　　　　樹脂類,,101,‐,‐,‐
　　　　木材チップ,,111,‐,‐,‐
　　　　その他林産品,,112,17,‐,17
　　　　薪炭,,121,‐,‐,‐
(3)　鉱産品,,,"9,021",‐,"9,021"
　　　　石炭,,131,‐,‐,‐
　　　　鉄鉱石,,141,‐,‐,‐
　　　　金属鉱,,151,‐,‐,‐
　　　　砂利・砂,,161,"9,021",‐,"9,021"
　　　　石材,,162,‐,‐,‐
　　　　原油,,171,‐,‐,‐
　　　　りん鉱石,,181,‐,‐,‐
　　　　石灰石,,191,‐,‐,‐
　　　　原塩,,201,‐,‐,‐
　　　　非金属鉱物,,211,‐,‐,‐
(4)  金属機械工業品,,,"5,729","1,803","3,926"
　　　　鉄鋼,,221,‐,‐,‐
　　　　鋼材,,222,360,160,200
　　　　非鉄金属,,231,‐,‐,‐
　　　　金属製品,,241,"1,691",312,"1,379"
　　　　鉄道車両,,251,‐,‐,‐
　　　　完成自動車,,252,"2,472",915,"1,557"
　　　　その他輸送用車両,,253,454,103,351
　　　　二輪自動車,,254,32,13,19
　　　　自動車部品,,255,‐,‐,‐
　　　　その他輸送機械,,256,‐,‐,‐
　　　　産業機械,,261,720,300,420
　　　　電気機械,,262,‐,‐,‐
　　　　測量・光学・医療用機械,,263,‐,‐,‐
　　　　事務用機器,,264,‐,‐,‐
　　　　その他機械,,265,‐,‐,‐
(5)　化学工業品,,,"3,902",13,"3,889"
　　　　陶磁器,,271,‐,‐,‐
　　　　セメント,,281,"1,762",‐,"1,762"
　　　　ガラス類,,291,‐,‐,‐
　　　　窯業品,,301,752,8,744
　　　　重油,,311,‐,‐,‐
　　　　揮発油,,320,316,‐,316
　　　　その他の石油,,321,748,5,743
　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　LPG（液化石油ガス）,,323,324,‐,324
　　　　石油製品,,324,‐,‐,‐
　　　　コークス,,331,‐,‐,‐
　　　　石炭製品,,341,‐,‐,‐
　　　　化学薬品,,351,‐,‐,‐
　　　　化学肥料,,361,‐,‐,‐
"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,‐,‐,‐
(6)　軽工業品,,,383,‐,383
　　　　紙、パルプ,,381,‐,‐,‐
　　　　糸及び紡績半製品,,391,‐,‐,‐
　　　　その他繊維工業品,,401,‐,‐,‐
　　　　砂糖,,411,‐,‐,‐
　　　　製造食品,,421,14,‐,14
　　　　飲料,,422,369,‐,369
　　　　水,,423,‐,‐,‐
　　　　たばこ,,424,‐,‐,‐
　　　　その他食料工業品,,425,‐,‐,‐
(7)　雑工業品,,,527,98,429
　　　　がん具,,431,‐,‐,‐
　　  　衣服・身廻品・はきもの,,441,‐,‐,‐
"　       文房具・運動娯楽用品・
         楽器",,442,‐,‐,‐
　　　　家具装備品,,443,‐,‐,‐
　　　　その他日用品,,444,427,98,329
　　　　ゴム製品,,451,‐,‐,‐
　　　　木製品,,461,30,‐,30
　　　　その他製造工業品,,471,70,‐,70
(8)　特殊品,,,"6,119","2,841","3,278"
　　　　金属くず,,481,70,70,‐
　　　　再利用資材,,491,142,142,‐
　　　　動植物性製造飼肥料,,501,78,‐,78
　　　　廃棄物,,511,476,395,81
　　　　廃土砂,,512,286,285,1
　　　　輸送用容器,,521,"2,182","1,473",709
　　　　取合せ品,,531,"2,885",476,"2,409"
(9)　分類不能のもの,,541,245,128,117
【自航】,,,‐,‐,‐
　　　ＬＮＧ船
内航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,"1,494",内航    
外航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,外航    
プロダクトオイルタンカー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,366,"905,395",プロダクトオイルタンカー
内航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,366,"905,395",内航    
外航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,外航    
内航ケミカル船,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,内航ケミカル船
内航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,内航    
外航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,外航    
外航ケミカル船,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,外航ケミカル船
内航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,内航    
外航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,外航    
その他タンカー・タンク船,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,その他タンカー・タンク船
内航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,内航    
外航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,外航    
穀物船,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,穀物船
内航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,内航    
外航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,外航    
一般貨物船,-,-,14,"233,359",233,"132,845",542,"345,662",421,"259,376",121,"86,286",119,"427,054",64,"361,618",55,"65,436",-,-,"1,530","1,010,004",一般貨物船
内航    ,-,-,7,"2,327",233,"132,845",542,"345,662",421,"259,376",121,"86,286",97,"115,317",42,"49,881",55,"65,436",-,-,"1,521","909,803",内航    
外航    ,-,-,7,"231,032",-,-,-,-,-,-,-,-,22,"311,737",22,"311,737",-,-,-,-,9,"100,201",外航    
自動車専用船,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,"2,003",自動車専用船
内航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,"2,003",内航    
外航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,外航    
その他専用船,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,その他専用船
内航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,内航    
外航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,外航    
フルコンテナ船,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,278,"3,052,009",フルコンテナ船
内航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,"12,716",内航    
外航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,255,"3,039,293",外航    
セミコンテナ船,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,"570,379",セミコンテナ船
内航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,"11,545",内航    
外航    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,"558,834",外航    
